paragraph_uri,concept_uri,mention,score,origin
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/1/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/1/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/2/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/2/text/1,http://dbpedia.org/resource/Memory,memory,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/4/text/1,http://dbpedia.org/resource/Medicine,medicine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/4/text/1,http://dbpedia.org/resource/Medicine,medicine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/5/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/5/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/6/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/7/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/10/text/1,http://dbpedia.org/resource/Institute_for_Operations_Research_and_the_Management_Sciences,informs,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/1/12/text/1,http://dbpedia.org/resource/Deafness,deaf,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/5/text/1,http://dbpedia.org/resource/Cuttlefish,cuttlefish,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/6/text/1,http://dbpedia.org/resource/Empedocles,Empedocles,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/6/text/1,http://dbpedia.org/resource/Timaeus_of_Locri,Timaeus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/7/text/1,http://dbpedia.org/resource/Timaeus_of_Locri,Timaeus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/8/text/1,http://dbpedia.org/resource/Ice,ice,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/9/text/1,http://dbpedia.org/resource/Empedocles,Empedocles,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/10/text/1,http://dbpedia.org/resource/Democritus,Democritus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/16/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/16/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/19/text/1,http://dbpedia.org/resource/Incense,incense,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/2/19/text/1,http://dbpedia.org/resource/Incense,incense,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/2/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/5/text/1,http://dbpedia.org/resource/Aorist,aorist,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/5/text/1,http://dbpedia.org/resource/Pythagoreanism,Pythagoreans,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/7/text/1,http://dbpedia.org/resource/Infinitive,infinitive,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/12/text/1,http://dbpedia.org/resource/Arecaceae,palm tree,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/13/text/1,http://dbpedia.org/resource/Arecaceae,palm tree,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/17/text/1,http://dbpedia.org/resource/Apparent_magnitude,magnitude,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/3/17/text/1,http://dbpedia.org/resource/Apparent_magnitude,magnitude,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/1/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/3/text/1,http://dbpedia.org/resource/Empedocles,Empedocles,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/4/text/1,http://dbpedia.org/resource/Empedocles,Empedocles,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/4/text/1,http://dbpedia.org/resource/Fruit_anatomy,pericarp,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/5/text/1,http://dbpedia.org/resource/Panspermia,panspermia,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/19/text/1,http://dbpedia.org/resource/Democritus,Democritus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/21/text/1,http://dbpedia.org/resource/Democritus,Democritus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/4/24/text/1,http://dbpedia.org/resource/Physiology,physiology,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/4/text/1,http://dbpedia.org/resource/Thalatta_(Thames_barge),thalatta,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/5/text/1,http://dbpedia.org/resource/Copper,copper,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/5/text/1,http://dbpedia.org/resource/Iron,iron,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/5/text/1,http://dbpedia.org/resource/Dross,dross,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/6/text/1,http://dbpedia.org/resource/Heraclitus,Heraclitus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/11/text/1,http://dbpedia.org/resource/Coagulation,coagulation,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/11/text/1,http://dbpedia.org/resource/Coagulation,coagulation,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/13/text/1,http://dbpedia.org/resource/Strattis,Strattis,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/13/text/1,http://dbpedia.org/resource/Euripides,Euripides,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/19/text/1,http://dbpedia.org/resource/Mucus,mucus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/22/text/1,http://dbpedia.org/resource/Genus,genus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/22/text/1,http://dbpedia.org/resource/Afar_people,afar,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/22/text/1,http://dbpedia.org/resource/Honey,honey,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/22/text/1,http://dbpedia.org/resource/Genus,genus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/25/text/1,http://dbpedia.org/resource/Asphalt,asphalt,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/28/text/1,http://dbpedia.org/resource/Dye,dye,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/29/text/1,http://dbpedia.org/resource/Pythagoreanism,Pythagoreans,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/5/31/text/1,http://dbpedia.org/resource/Respiratory_tract,respiratory tract,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/2/text/1,http://dbpedia.org/resource/Apparent_magnitude,magnitude,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/3/text/1,http://dbpedia.org/resource/Mathematics,mathematics,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/7/text/1,http://dbpedia.org/resource/Ultimates,ultimates,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/8/text/1,http://dbpedia.org/resource/Mite,mite,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/10/text/1,http://dbpedia.org/resource/Atta_flour,atta,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/12/text/1,http://dbpedia.org/resource/Empedocles,Empedocles,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/13/text/1,http://dbpedia.org/resource/Dachshund,Doxie,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/6/19/text/1,http://dbpedia.org/resource/Incense,incense,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/2/text/1,http://dbpedia.org/resource/Alloy,alloy,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/2/text/1,http://dbpedia.org/resource/Wine,wine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/2/text/1,http://dbpedia.org/resource/Honey,honey,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/6/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/9/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/17/text/1,http://dbpedia.org/resource/Apparent_magnitude,magnitude,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/21/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/22/text/1,http://dbpedia.org/resource/Amphitheatre,amphitheater,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/25/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/26/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Aristotle/de_sensu_et_sensibilibus/7/26/text/1,http://dbpedia.org/resource/Apparent_magnitude,magnitude,0.6,DBpedia
